產品編號,品名,口味/顏色,大小,規格-數量,品牌,進貨人/廠商,規格,計量單位,標準進價,售價A,售價B,建議售價,主類別,次類別,內部類別,備註,,(廠商名稱),品名規格,,
000028009,麵線,祝壽壽麵(2束)金財億,,,金財億,祝壽壽麵(2束)金財億,箱,箱,320,360,360,380,其他,麵線,,,,金財億,麵線/祝壽壽麵(2束)金財億/20入*箱,,
000038001,蚵仔麵線,觀音,,,觀音手工麵線,手工切,10斤*包,包,420,420,420,450,其他,麵線,,,,觀音手工麵線,蚵仔麵線/觀音/手工切/10斤*包,,
000040001,麵腸,高山頂,,,高山頂麵輪,,,斤,0,0,0,30,其他,半熟品,,,,高山頂麵輪,麵腸/高山頂*斤,,
000049002,酵母粉,白玫瑰,,,長壽化工廠有限公司(瑞發),瑞發,500g*包,包,102.5,120,120,130,其他,發酵粉,,,,長壽化工廠有限公司(瑞發),酵母粉/白玫瑰/瑞發/500g*包,,
000049006,玫瑰發酵粉,快速,,,日陞食品有限公司(和信),日陞,日陞*500g*包,包,98.5,110,110,120,其他,發酵粉,,,,日陞食品有限公司(和信),玫瑰發酵粉/快速/發子/日陞/500g*包,,
000049007,酵母粉,白玫瑰,,,長壽化工廠有限公司(瑞發),瑞發,500g*20包入*箱,箱,2050,2200,2200,2350,其他,發酵粉,,,,長壽化工廠有限公司(瑞發),酵母粉/白玫瑰/瑞發/500g*20包入*箱,,
000050001,沙琪瑪,蔓越莓,,,香兌味食品商行,黑糖,香兌*12包入*包,包,70,80,0,90,其他,零嘴,,,,香兌味食品商行,沙琪瑪/蔓越莓/黑糖/香兌*12包入*包,,
000050002,沙琪瑪,蔓越莓,,,香兌味食品商行,黑糖,香兌*12包入*箱,箱,840,900,0,940,其他,零嘴,,,,香兌味食品商行,沙琪瑪/蔓越莓/黑糖/香兌*12包入*箱,,
000050003,沙琪瑪,堅果,,,香兌味食品商行,香兌,香兌*12包入*包,包,70,80,0,90,其他,零嘴,,,,香兌味食品商行,沙琪瑪/堅果/紅藜麥/香兌/12包入*包,,
000050004,沙琪瑪,堅果,,,香兌味食品商行,香兌,香兌*12包入*箱,箱,840,900,0,940,其他,零嘴,,,,香兌味食品商行,沙琪瑪/堅果/紅藜麥/香兌/12包入*箱,,
000050005,沙琪瑪,堅果,,,香兌味食品商行,香兌,香兌*12包入*箱,箱,840,900,0,940,其他,零嘴,,,,香兌味食品商行,沙琪瑪/堅果/蕎麥/香兌/12包入*箱,,
000050006,沙琪瑪,堅果,,,香兌味食品商行,香兌,香兌*12包入*包,包,70,80,0,90,其他,零嘴,,,,香兌味食品商行,沙琪瑪/堅果/蕎麥/香兌/12包入*包,,
000051001,佛跳牆(碗),毛先生,,,毛先生,,箱,箱,1200,1260,1260,1300,其他,食材,,,,毛先生,佛跳牆(碗)/毛先生*6入*箱***,,
000051002,干貝酥,毛先生12盒,,,毛先生,,,箱,960,0,0,0,其他,食材,,,,毛先生,干貝酥/毛先生12盒*箱,,
000051003,干貝酥,毛先生12盒,,,毛先生,,,盒,80,0,0,0,其他,食材,,,,毛先生,干貝酥/毛先生12盒*盒,,
000051004,健健美,毛先生,,,毛先生,,,包,80,0,0,0,其他,茶水奶,,,,毛先生,健健美/毛先生*包,,
000052001,鮪魚片,愛之味,,,全聯福利中心,185g,185g*3入*封,封,110,0,0,0,其他,罐頭,,,,全聯福利中心,鮪魚片/愛之味/全聯/185g/3入*封***,,
000052002,鮪魚片,愛之味,,,全聯福利中心,185g,185g*16封入*箱,箱,1760,0,0,0,其他,罐頭,,,,全聯福利中心,鮪魚片/愛之味/全聯/185g/16封入*箱***,,
000055001,蚵仔麵線,手工切,,,萬久富,萬久富,10斤*包,包,420,430,440,450,其他,麵線,,,,萬久富,蚵仔麵線/手工切/萬久富/10斤*包,,
1A0002001,蠔油,熊貓,,,御昌商行(小蔡),鐵罐,御昌2.27kg*6入*箱,箱,1050,1140,1140,1200,其他,港式醬料,,,,御昌商行(小蔡),蠔油/熊貓/鐵罐/御昌2.27kg*6入*箱,,
1A0002002,牛晶粉,康寶,,,御昌商行(小蔡),康寶,6入*箱,箱,1680,1860,1860,1950,其他,康寶,,,,御昌商行(小蔡),牛晶粉/康寶/御昌1K*6入*箱,,
1A0002003,牛晶粉,康寶,,,御昌商行(小蔡),康寶,6入*罐,罐,280,310,320,330,其他,康寶,,,,御昌商行(小蔡),牛晶粉/康寶/御昌1K*6入*罐,,
1A0002004,烹大師,鰹魚粉,,,御昌商行(小蔡),鰹魚粉,10盒入*盒,盒,263,280,280,300,其他,海鮮粉,,,,御昌商行(小蔡),烹大師/鰹魚粉/御昌1K*10盒入*盒,,
1A0002005,咖哩塊,爪哇,,,御昌商行(小蔡),御昌,1K*20入*箱,箱,4100,4500,4500,4600,其他,咖哩,,,,御昌商行(小蔡),咖哩塊/爪哇/御昌/1K*20入*箱,,
1A0002006,咖哩塊,爪哇,,,御昌商行(小蔡),御昌,1K*盒,盒,205,230,230,240,其他,咖哩,,,,御昌商行(小蔡),咖哩塊/爪哇/御昌/1K*盒***,,
1A0002007,松井,山葵粉,,,御昌商行(小蔡),特辣,御昌*包,包,53,60,60,65,調味料,調味粉,,,,御昌商行(小蔡),松井/山葵粉/特辣/御昌*包,,
1A0002008,松井,山葵粉,,,御昌商行(小蔡),御昌,御昌*25入*桶,桶,1325,1400,1425,1500,調味料,調味粉,,,,御昌商行(小蔡),松井/山葵粉/特辣/御昌/25入*桶,,
1A0002009,海苔粉,細,,,御昌商行(小蔡),御昌,300g*包,包,160,190,190,200,其他,海苔,,,,御昌商行(小蔡),海苔粉/細/御昌/300g*包,,
1A0002011,極細海苔絲,御昌,,,御昌商行(小蔡),,,包,75,110,110,120,其他,海苔,,,,御昌商行(小蔡),極細海苔絲/御昌*包,,
1A0002016,義大利麵,IVY(金藤),,,御昌商行(小蔡),御昌,10入*包,包,32,0,0,0,其他,義大利麵,,,,御昌商行(小蔡),義大利麵/IVY(金藤)/御昌/10入*包,,
1A0002017,義大利麵,IVY(金藤),,,御昌商行(小蔡),御昌,10入*箱,箱,320,0,0,0,其他,義大利麵,,,,御昌商行(小蔡),義大利麵/IVY(金藤)/御昌/10入*箱,,
1A0002018,蠔油,熊貓,,,御昌商行(小蔡),熊貓,桶,桶,175,200,200,210,其他,港式醬料,,,,御昌商行(小蔡),蠔油/熊貓/御昌2.27K*桶,,
1A0002019,蠔油,熊貓,,,御昌商行(小蔡),熊貓,瓶,瓶,60,0,0,85,其他,港式醬料,,,,御昌商行(小蔡),蠔油/熊貓/御昌12入*瓶,,
1A0002020,蒸魚醬油,李錦記,,,御昌商行(小蔡),李錦記,瓶,瓶,68,80,80,85,其他,醬油,,,,御昌商行(小蔡),蒸魚醬油/李錦記/御昌12入*瓶,,
1A0002021,蠔油,舊庄,,,御昌商行(小蔡),舊庄,罐,罐,125,130,130,140,其他,港式醬料,,,,御昌商行(小蔡),蠔油/舊庄/御昌12入*罐,,
1A0002022,雞粉,雞晶粉,,,御昌商行(小蔡),御昌,御昌*1K*12入*包,包,125,150,150,160,其他,康寶,,,,御昌商行(小蔡),雞粉/雞晶粉/康寶/御昌/1K*12入*包,,
1A0002023,雞粉,雞晶粉,,,御昌商行(小蔡),御昌,御昌*1K*12入*箱,箱,1500,1620,1620,1680,其他,康寶,,,,御昌商行(小蔡),雞粉/雞晶粉/康寶/御昌/1K*12入*箱,,
1A0002024,雞粉,康寶,,,御昌商行(小蔡),御昌,2.2K*6入*包,包,413,445,445,460,其他,康寶,,,,御昌商行(小蔡),雞粉/康寶/御昌/2.2K*6入*包,,
1A0002025,濃湯,火腿玉米,,,御昌商行(小蔡),康寶,御昌*包,包,26,0,0,30,其他,康寶,,,,御昌商行(小蔡),濃湯/火腿玉米/康寶/御昌*包,,
1A0002026,濃湯,金黃玉米,,,御昌商行(小蔡),康寶,御昌*包,包,26,0,0,30,其他,康寶,,,,御昌商行(小蔡),濃湯/金黃玉米/康寶/御昌*包,,
